doc_id,text
1,"Settle down, Kari."
2,"The provision is criticized on the grounds that it would allow for the freezing of assets without a court ruling. The draft also envisages heavy penalties and fines. It calls for jail sentences of up to 10 years to those funding terrorist organizations or terrorists, even if the money is not directly used for a terrorist crime."
3,"This blog hop will run from Friday, April 20th at midnight and end at midnight pst on Sunday, April 22nd. Winners will be announced on the Crafter's Companion Informational blog on Tuesday April 24th."
4,Hubby is away on business and so it is quiet in the house today.
5,"If you're going to get stuck in an airport for any length of time then I can recommend Schiphol. Spacious and plenty of facilities, I spent several hours reading, writing and (after the purchase of a pair of headphones) some listening. Also some people watching. Fascinating to see so many people in their late teens or early twenties dressed with references to the 60s and 70s. One girl even had one of those freak flag pendents swinging around her neck."
6,There was also a big shoal of pollock at about 8 meters. I think this particular shoal was the reason so many seals were around.
7,"The wonder of playing with Barbie dolls was that I got to make up awesome stories and play them out with my dolls. My Barbies got into all kinds of shenanigans, they traveled all over the world and some even lived under the sea. My Barbies also dressed like rockstars and drove a convertible (they always drove a convertible, ’cause I didn’t own another Barbie sized car). And most of all, my Barbies always had top-notch mansions, which took literally days for me to fashion and perfect."
8,"Anyway...back to Charlie... Since Jen was gone for the week and Jeremy had to work, Charlie came to stay with Grammy. I had so much to do but I'm telling you, there is nothing I wouldn't do for this child so everything else took a back seat to my little Smooshy! She is now almost 8 months old and just getting cuter and cuter. So much fun and so quick to smile. She's also becoming very mobile... crawling all over the place. She actually pulled herself up while she was in the pack and play so I had to take the top bed piece out. She had a bit of a cold while she was here and as much I hate her being sick I loved that she only wanted to be with Grammy at times when she was tired. Speaking of tired, I was worn out! This is why people my age don't have babies. Thank goodness for Grampy, Auntie Julz and Uncle Nate taking turns with Charlie, giving me a chance to make dinner, straighten up or just collapse! Special props to Julz who had Charlie just screaming with laughter. I wish I had been able to get video. Charlie and I were sitting on the bed and Julz would run and flip over and off the bed, jump up and say ""Ta Da!"" and Charlie would just crack up... Julianne is so smitten with this child. She said ""I would do ANYTHING to make her smile."" How adorable is that? And Charlie loves her right back. Here she is giving Auntie Julz baby kisses!"
9,"Who is Hawkeye? If you haven't read many Avengers comics, you might not have a good handle on his character. After all, he has never been able to support a solo book, he's never been a particularly prolific guest star, and he hasn't really done much of anything in the last ten years other than die and come back as a ninja (sigh). But it's absolutely vital to understand two things about him: 1) he's not Green Arrow and 2) he's kind of an asshole."
10,"My husband was really supportive in the closing stages – he’s not from El Paso, but says that when we visit, he appreciates the city more, now that he knows a little more about its history."
