doc_id,text
1,Grapefruit juice: This citrus slows down enzyme activity needed to process more than 50 drugs.
2,"Asked Saturday if she had been willing to support Gemana, Connally said, ""I might have been."""
3,"The plan could be viewed as an economic development tool because it would contain health care costs that are crippling businesses' competitiveness, said Jonathan Ater, a Portland lawyer and vice chairman of the Oregon Health Fund Board."
4,"Yankees shortstop Alex Rodriguez, on Mariano Rivera's season-ending knee injury."
5,"Also, a former Saturn assembly plant in Spring Hill, Tenn., will be reopened under the deal, the people said, and new products have been promised to plants in Romulus, Mich.; Warren, Mich.; and Wentzville, Mo. A plant in Janesville, Wis., which stopped producing trucks in 2009, will remain idled but won't close."
6,"Here is some more of that story from 1991. ""Backers hailed the reports, saying that any state legislator who voted against the proposal would be irresponsible."""
7,"Through his agent, Vilma issued a statement saying he is ""shocked and extremely disappointed"" by the punishment and denied he was a bounty ringleader."
8,"Miller said he feels just like he did in middle school, getting ready to play as a high school freshman."
9,"I wish I could tell you that I came in and saved the day. Alas, I stood idly by -- as did the Timbers event security -- and rounded up my younger cousins who were in shock of what just happened. After convincing my brother a scarf is cheaper than doctors bills we bid ourselves adieu to the Sounders fans. Despite our attempt to vacate the area surrounding the bus peacefully the fans decided to throw water and water bottles at us and the sporadic Timber fan walking by. As they threw objects at us I saw the reason that soccer will not prosper in the United States."
10,Ronald Wayne Looney opens his tattered wallet.
11,"Competition within the Cruze's compact segment was fierce in December. Though Ford's Focus had a good month with 14,281 sold, Volkswagen's Jetta outsold it with 14,422 sold. Toyota's Corolla and Honda's Civic are typically the market leaders in the segment, and those company plan to report sales later Wednesday."
12,"However, if you want a cleaner, classier look, check out the craft store for other stencils."
13,"John Fuller had gotten most of his 11 children to the basement when he realized something awful. Jody, the 1-year-old, was upstairs in her crib."
14,⅓ cup chopped fresh cilantro
15,"Nothing. So they called a former associate of Cook's, who told them to find a closed German restaurant about a half a block away. When they found that, they asked neighboring businesses for the finca numbers of their properties and figured out the location of two lots where Cook and some associates planned to build a condo tower called the Vineyard."
16,"Ha, a 21-year-old electrical engineering student from southern Vietnam, is one of four women in the program. She said she's used to being far outnumbered by men. In her 64-student program in Vietnam, she was one of only three women."
17,"Now, time itself was becoming an ally, with roughly half the giant Baby Boomer generation no longer around. At the extreme, back in the 2030s, just two workers were supporting each retiree. The ratio now was rising again."
18,"A beleaguered medical-marijuana doctor has agreed to permanently surrender his medical license, while a second physician has had his license suspended."
19,"During World War II, Army Lieutenant Hollinger won a bronze star for taking over a ravaged company and leading it through heavy fire to seize an enemy position."
20,"The table is broken into 27 columns, each representing six lunar months. Each column is topped by the face of one of three moon gods -- a jaguar, a skull and a woman. These three repeat. So by consulting the table, a priest, say, could tell which moon god would preside over a particular date."
21,"""It gives me a window to prepare,"" Sandoval said. ""I'm not afraid of death. Am I going to survive it? No."""
22,"OVI, KEN MAR DRIVE: After being stopped for reckless driving and suspicion of being under the influence of alcohol, a 49-year-old man soiled his pants while attempting to complete field sobriety tests just before 7 a.m. on Saturday."
23,"Granted, I can't imagine Rep. Paul Ryan (R-Wis.) sitting in as a guest host on morning TV, sipping from a coffee cup and bantering with guests about the book they've just published or the fitness regimen they're promoting. Nor can I see New Jersey Gov. Chris Christie, former Govs. Haley Barbour of Mississippi or Jeb Bush of Florida or Secretary of State Hillary Clinton in that role, or anyone else who's been mentioned as a future presidential candidate. Hosting a daytime talk show doesn't seem to fit that resume."
24,"Three hundred miles to the south in Virginia, Coast Guard Petty Officer Rafferty frantically makes survival calculations: air temperature offshore (33 degrees); water temperature (40.6 degrees). He feeds the information into a cold exposure survival model and what spits out is not comforting: Based on the approximate time of sinking and the height and weight of an average man wearing some protection from the cold, Rafferty gives the fishermen just 1 to 1.5 hours of functional time, which means the ability to move, and a survival time of 1.5 to 3.1 hours."
25,"""I thought it was a drill,"" Medina said. ""I thought, ‘There’s no way this is happening again.’"" But it was. A nearby security guard announced everyone needed to evacuate due to a bomb threat."
26,"Graham is different. His indefinite suspension of Junior Onyeali proves he's not all talk. And in the case of ASU's football team, an infusion of discipline is sorely needed."
27,"Sean's critique didn't surprise Anthea Butler, a religion professor at the University of Pennsylvania. ""Most Americans don't know the basic history and beliefs of their own faith, let alone any of the major religious traditions,"" Butler told me."
28,"Edwards was driving a light blue, 1998 Ford van with a Florida license plate, W051-BP."
29,Detroit Free Press reporter Zlati Meyer takes a look at the Republicans fight for party dominance in this episode of Survivor: Michigan.
30,"When you say Slap Shot and Johnstown, its nationally recognized, Bouchard told The Associated Press. Were going to play up on the heritage of the movie and all that stuff."
31,Pennsville Ambulance responded to assist and remained in service for 20 minutes.
32,"The highlight was endless lobster. These were primo, with huge claws that spilled off the plate. Served with drawn butter, every mouthful was delicious."
33,"1 large seedless seasonal melon, cut into bite-size pieces"
34,"Hunt's political aide Adam Smith resigned Wednesday, saying he was responsible for the perception that News Corp. had ""too close a relationship"" with Hunt's office. Smith said he had acted without Hunt's authorization, but it was not clear how a special adviser could have acted so independently."
35,"Starting this tax season, hundreds of thousands of such filers can get refunds quickly while managing to avoid both traditional banks and questionable financial products of the tax-prep industry."
