doc_id,text
1,Dear John Lennon - I sure hope you passed on some of your superstar talents to me given that I was born on the same day you died.
2,This is just crap that you can hear one in every 5 words
3,them niggas back on top
4,MAN BEING AA FAMOUS FOOTBALL PLAYER FOR THE CARDINALS SURE DO PAY OFF LOL KEEP UP DA GOOD WORK
5,Good morning! Quite slow on the trian / meadowlands soaked in spring rain / everyone sleeping
6,Feeling better today. Get'er done!
7,the thing is in order to even be considered in legit auditions you need to have a resume with past experience (like classes n
8,"LISTEN UP GUYS. idk whats wrong with my twitter,but it sends stuff to people and linksanyways i'm sorry about that hope you can ignore that"
9,I've been watching too much 
10,"If I find life to challenging, then I keep trucking until it gets better."
11,Oh soo your a lakers fan....I bet you choke on dick too ....
12,“I don’t think I can think of a greater evil than what we know as the human slave trade” Gov Kasich on creating 
13,I used to hate guys with big eyebrows.. and now.. they're becoming a turn on.
14,def. funny. People need to chill.
15,Check your spelling.
16,"Schools back in session! Do you have all your supplies? If not, sign up on www.kmcameraedu.com to get exclusive discounts!"
17,"You know what, forget you. I'm done with you. There's no reason to stay in touch with you anymore."
18,and Yu was in chingy video
19,Colin and I were talking at dodgeball about getting some games going Friday night. Thoughts?
20,"My mind says , but my heart says Victor's."
21,hey RT this post for me PLEASE and thank you i love you ur the best
22,yup! Go Bucky!
23,That was not a tweet I admire.
24,"Come play the latest and greatest slots at Barona Casino! Get your gaming on with Aloha Island, Big Vegas and Easy Cash Eddy!"
25,"FURSHOW MAN..GOTTA DO IT BIG U KNOW ""ITS MAJOR"".."
26,"Life is a climb, but the views great (: love that quote from the hannah Montana movie! Js XD"
27,you and i love this song :)
28,how though ;o....you one lucky gurl</3 i woudl really wanna be you</3
29,"Working my last Sunday reference shift. This would normally be a joyous occasion, but the main lab printer is borked."
30,FACT: Mold on a home’s exterior can create the same health risks to its inhabitants as if the mold was growing inside.
31,worlds colliding! next we may meet face to face :)
32,In other news oomf is <<
33,Those Chincoteague photos are beautiful.
34,Surrounded by little kids at the playground...super AWKKKKKKKK.
35,Come out to support BASE Camp 's Dockside in Apopka for spirit night!
36,Hi I'm graduating in like 3hrssss
37,I just read a list of 'the 100 things to do before you die'. I'm pretty surprised 'yell for help' wasn't one of them...
38,"Celebrity House Hunting on is a must watch. , Barry Williams, & Danny Bonaducci!? Oh yeah."
39,Sometimes I wonder if I will ever be good enough.
40,well if u need someone to take care of your extra chapsticks... You know who to call
41,"No, but I could possibly arrive Friday and leave Sunday, just to meet some folks."
42,"That chipotle commercial was awesome! Loved the animation, message, and music."
43,If you didn't tweet me I probably would have forgotten
44,Still need Mother's Day dinner reservations for this Sunday? Call 608-819-6319/Email . No minimum party size.
45,are we still going to Madagascar when it comes out?!
46,Thank you kindly m'aam
47,PLEASE FOLLOW ME !!! WOULD MEAN SO MUCH! <3 27
48,“: I honestly don't miss nothin about u I'm gettin mad that I'm sittin here tweetin about u...” oh
49,Thanks for RT blessing- That was great! :)
50,trying to talk to people and they block me
51,will revert back to am runs come July...
52,"They that they will always be there for you... But when you really need them, they aren't there"
53,;o o. lmao
54,retweet this post if you like watching the
55,"An author interviewed on NPR says using the word ""Suddenly"" is bad writing. Think about it. The word is unnecessary in a well written scene."
56,seriously -- you're getting 300:1 odds on your money. Put in 2/3 entries and those odds are even more in ur favor.
57,70 degrees yesterday and now it's snowing. You gotta love Wilmington :)
58,Although Pat Boone's episode got bumped from COX Channel 3 due to campaigning it is now up at OnAAiR!
59,u already know!!!! gotta stay bobby fresh
60,Can't wait to hear the line-up!
61,I know! (heehee)
62,OR IGNORE ME LIKE ALWAYS. that's cool too. Whatever. I'm getting off.
63,Hmm...I have way too many worthless emails in my work inbox. Lets see if I can delete 100 emails before my 10am meeting.
64,Gotta have a Cinderella team to make it interesting... why not Belmont?
65,internal bliss = Empty gym
66,starting to get a little more quiet in city hall... it's going to be a long night.
67,joins us @ 57th Street Books TONIGHT @ 6pm!
68,Check this out. Do you get a secret decoder ring or something...?
69,GO 
70,What a wedge shot! So clutch congrats!
71,this is awesome. Thank you so much for your support! Definitely means a lot to all of us
72,"No fresh baked cookies over here, unfortunately. :-("
73,It's gameday.
74,Watching Swedish House Mafia on 
75,Gays guys gals my B-DAY is on december 16 so 14 days left yay ☺ u now what will make my day is if selena gomez followes me on my B-day ♥
76,Have to study for biology test and ECA algebra :p
77,"MT : Attending multicultural hr on far we've come since 06 Time Out article ""Why is Chicago Theatre so white"""
78,Happy to do so. Try to make it out Thursday night. It should be crazy. It's a disco party in a gentlemens club. Think about it
79,"As Keith Moon fades to black, know that plays remain archived and can be read from the beginning to end. Drunk or sober. reorb.it/keithmoon"
80,YOU WERE AMAZING ON 
81,haha he'll be at next year's formal
82,can't wait to see 
83,Well deserved...quickly becoming one of the better 
84,What happens in July? RT 
85,"Free Coffee Friday is tomorrow! Man, has this week flown by or what! See us in the morning to get your free boost of energy."
86,6 turnovers Kobe really ... Juco guard playing ass nigga man.
87,you are insane for the comment about the nets and kings 
88,$99 dollar XBOX on the way... (with 2 year contract) You heard it hear 1st..
89,"Our newest exhibit ""Luxembourg by Hot Air Balloon"" opens this Sunday! Amazing aerials and spectacular views!"
90,"“ It takes a lot of EFFORTS to make people LIKE you, but it takes only 1 single mistake for them to HATE you”"
91,LOL nice appropriately worded/spoken response given my use of the name Spaniard :-) Ur officially N the running 4 dinner w/that 1.
92,"DEVILS FANS!!!WHAT'S YOUR BUCKET?....BUD LIGHT, BUDWEISER, BUD LIME FOR $15 BUD LIGHT PLATINUM $20..MILLER LIGHT $15.."
93,Still haven't even started the APWH review that's due tomorrow. 
94,I believe i'm more excited :)
95,same people who went to ben and jerry's next to Bevs
96,- LSF Road Runners: Chicago Marathon registration opens on February 1st. MARK YOUR CALENDARS!
97,in ATX this Friday w/ Loegz and more.....
98,What have we learned tonight about 
99,to be honest i have never watched porn in my life. As for the horror movies i think its more the books i read...
100,"Stay classy , San Diego !"
101,yeah way more effective it's not that bad
102,point and case they were also football players
103,Mojo's World is currently under construction. I am completely refurbishing the site! so Stay tuned for the new Mojo's World! :)
104,"oh good, thanks. im glad you like it."
105,rebound off SVU with Game of Thrones (;
106,"Petitioner training/signing in KC at Californos, 4124 Pennsylvania in Westport from 4-6 today. Help us legalize cannabis in MO!"
107,Honor and a privilege to be joining legendary coach Joan Bonvicini's staff as an assistant women's basketball coach at Seattle Universit ...
108,"s/o 2oo , goodnight & sweet dreams :)"
109,is stardoll a new program? lol im very behind
110,Lol it really is !
111,"hey I dont understand y u haven't order ur shirt, go to the stores, or drop by my place....dang so many options. Lol."
112,I leave my broken heart in ur hands
113,At the zoo reading the fun facts makes me think of 
114,Its sad how these men treatin these down ass females.you said you love her but behind her back while yo phone off you fuckin roun'
115,Rally Software Named Denver Post&
116,I'm sitting here waiting for his call so it's like when other people call I get a little annoyed..
117,"Uh huh. How is the picture on the Apple TV, anyway?"
118,"So when you need me just say hi, how you doing"
119,"“: ""Must be 3-7 sentences."" Yeah...I'm only doing 3.”"
120,"Written in HTML/CSS w/ Markdown + Dropbox, and compatible with , I present to you my official site/blog (Not here yet due to IE)"
